ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
38917,0,-68,100,12,0,77,4,1
38918,0,-68,100,11,0,77,2,1
38919,0,-68,100,12,0,77,19,1
38920,0,-68,100,10,0,77,2,1
38921,0,-73,100,10,0,46,1,1
38922,0,-73,100,10,0,46,-1,1
38923,0,-73,100,10,0,46,-3,1
38924,0,-73,100,10,0,46,-1,1
38925,0,-86,100,10,0,10,-8,1
38926,0,-85,100,10,0,10,-2,1
38927,0,-84,100,9,0,10,-2,1
38928,0,-84,100,10,0,10,0,1
38929,0,-76,100,11,0,65,3,1
38930,0,-75,100,10,0,65,1,1
38931,0,-75,100,11,0,65,3,1
38932,0,-75,100,10,0,65,19,1
38933,0,-76,100,11,0,53,3,1
38934,0,-75,100,10,0,53,0,1
38935,0,-75,100,10,0,53,1,1
38936,0,-75,100,10,0,53,-3,1
38937,0,-77,100,10,0,51,0,1
38938,0,-77,100,11,0,51,-2,1
38939,0,-77,100,11,0,51,-2,1
38940,0,-77,100,10,0,51,0,1
38941,0,-72,100,10,0,25,0,1
38942,0,-72,100,10,0,25,1,1
38943,0,-72,100,10,0,25,-1,1
38944,0,-72,100,10,0,25,18,1
38945,0,-71,100,10,0,20,1,1
38946,0,-72,100,10,0,20,-1,1
38947,0,-72,100,10,0,20,-1,1
38948,0,-72,100,10,0,20,-1,1
38949,0,-66,100,11,0,78,-1,1
38950,0,-67,100,10,0,78,-3,1
38951,0,-66,100,11,0,78,-2,1
38952,0,-66,100,11,0,78,-1,1
38953,0,-73,100,10,0,24,-3,1
38954,0,-72,100,10,0,24,0,1
38955,0,-73,100,11,0,24,2,1
38956,0,-73,100,10,0,24,4,1
38957,0,-67,100,10,0,76,20,1
38958,0,-67,100,11,0,76,4,1
38959,0,-68,100,10,0,76,3,1
38960,0,-68,100,11,0,76,1,1
38961,0,-68,100,11,0,79,0,1
38962,0,-68,100,10,0,79,-1,1
38963,0,-68,100,10,0,79,0,1
38964,0,-69,100,10,0,79,-3,1
38965,0,-67,100,11,0,62,0,1
38966,0,-67,100,11,0,62,-1,1
38967,0,-67,100,11,0,62,-2,1
38968,0,-68,100,11,0,62,-3,1
38969,0,-69,100,10,0,50,19,1
38970,0,-69,100,10,0,50,1,1
39065,0,-72,99,11,0,35,-1,1
39066,0,-73,99,11,0,35,3,1
39067,0,-72,99,10,0,35,3,1
39068,0,-73,99,11,0,35,4,1
39069,0,-81,99,8,0,40,21,1
39070,0,-82,99,8,0,40,2,1
39071,0,-80,99,9,0,40,2,1
39072,0,-73,99,11,0,14,-5,1
39073,0,-73,99,10,0,14,0,1
39074,0,-73,99,11,0,14,-1,1
39075,0,-73,99,11,0,14,-1,1
39076,0,-72,99,10,0,15,-2,1
39077,0,-72,99,10,0,15,-5,1
39078,0,-71,99,11,0,15,0,1
39079,0,-73,99,11,0,15,1,1
39080,0,-67,99,11,0,71,1,1
39081,0,-66,99,10,0,71,17,1
39082,0,-66,99,10,0,71,2,1
39083,0,-66,99,11,0,71,3,1
39084,0,-67,99,11,0,65,3,1
39085,0,-67,99,11,0,65,2,1
39086,0,-67,99,11,0,65,-1,1
39087,0,-66,99,12,0,65,2,1
39088,0,-69,99,10,0,58,1,1
39089,0,-69,99,10,0,58,1,1
39090,0,-69,99,11,0,58,-1,1
39091,0,-69,99,11,0,58,1,1
39092,0,-67,99,11,0,66,1,1
39093,0,-67,99,12,0,66,17,1
39094,0,-66,99,11,0,66,-2,1
39095,0,-66,99,11,0,66,-1,1
39096,0,-72,99,9,0,50,-2,1
39097,0,-72,99,11,0,50,-4,1
39098,0,-72,99,10,0,50,-5,1
39099,0,-71,99,10,0,50,-5,1
39100,0,-73,99,10,0,35,-1,1
39101,0,-73,99,11,0,35,-7,1
39102,0,-73,99,10,0,35,-4,1
39103,0,-73,99,10,0,35,-2,1
39104,0,-76,99,10,0,23,-3,1
39105,0,-76,99,10,0,23,-1,1
39106,0,-76,99,11,0,23,17,1
39107,0,-76,99,11,0,23,1,1
39108,0,-76,99,11,0,21,0,1
39109,0,-76,99,10,0,21,-1,1
39110,0,-76,99,11,0,21,-2,1
39111,0,-76,99,10,0,21,-5,1
39112,0,-71,99,6,0,44,-1,1
39113,0,-72,99,6,0,44,-2,1
39114,0,-72,99,6,0,44,0,1
39115,0,-72,99,6,0,44,1,1
39116,0,-69,99,11,0,72,1,1
39117,0,-68,99,11,0,72,2,1
39118,0,-68,99,10,0,72,20,1
39119,0,-68,99,10,0,72,-1,1
39120,0,-72,99,11,0,36,0,1
39121,0,-72,99,10,0,36,-1,1
39122,0,-72,99,11,0,36,-3,1
39123,0,-72,99,11,0,36,1,1
39124,0,-73,100,10,0,3,-1,1
39125,0,-72,100,9,0,3,-2,1
39126,0,-71,100,10,0,3,-2,1
39127,0,-72,100,11,0,3,-1,1
39128,0,-67,100,10,0,64,0,1
39129,0,-66,100,11,0,64,0,1
39130,0,-67,100,10,0,64,3,1
39131,0,-67,100,10,0,64,19,1
39132,0,-69,100,10,0,59,3,1
39133,0,-69,100,10,0,59,2,1
39134,0,-68,100,10,0,59,0,1
39135,0,-69,100,10,0,59,2,1
39136,0,-73,100,11,0,39,1,1
39137,0,-73,100,10,0,39,1,1
39138,0,-73,100,10,0,39,0,1
39139,0,-72,100,11,0,39,0,1
39140,0,-75,100,11,0,42,-3,1
