File 1,File 2,Lines Matched
../mysql-files/source/1015/223456889acdf (52%),../mysql-files/source/1015/112337778bbddeff (50%),5
../mysql-files/source/1015/01223689aadddef (38%),../mysql-files/source/1015/02346789abccf (39%),7
../mysql-files/source/1015/01223689aadddef (38%),../mysql-files/source/1015/002566788bcdeff (38%),6
../mysql-files/source/1015/22266689adef (36%),../mysql-files/source/1015/0013778999bcf (46%),9
../mysql-files/source/1015/02245678abdef (88%),../mysql-files/source/1015/01226aaaabccccfff (88%),11
../mysql-files/source/1015/2334456899bcdff (52%),../mysql-files/source/1015/112337778bbddeff (50%),4
../mysql-files/source/1015/1255899acddf (50%),../mysql-files/source/1015/112337778bbddeff (50%),4
../mysql-files/source/1015/04599aac (58%),../mysql-files/source/1015/122255789abbccdde (51%),1
../mysql-files/source/1015/000144778acdddef (29%),../mysql-files/source/1015/025667aabbcceeeef (40%),3
../mysql-files/source/1015/1245677888abbce (43%),../mysql-files/source/1015/0013778999bcf (44%),3
../mysql-files/source/1015/001124568bcdf (49%),../mysql-files/source/1015/055689bbdf (47%),10
../mysql-files/source/1015/002246668acd (50%),../mysql-files/source/1015/001124568bcdf (49%),10
../mysql-files/source/1015/14456778acef (42%),../mysql-files/source/1015/0013778999bcf (44%),3
../mysql-files/source/1015/000034aacceee (49%),../mysql-files/source/1015/055689bbdf (47%),8
../mysql-files/source/1015/000034aacceee (49%),../mysql-files/source/1015/002246668acd (50%),8
../mysql-files/source/1015/22334889aabce (41%),../mysql-files/source/1015/00679abeffff (32%),6
../mysql-files/source/1015/013588aabcdeff (49%),../mysql-files/source/1015/055689bbdf (47%),6
../mysql-files/source/1015/013588aabcdeff (49%),../mysql-files/source/1015/002246668acd (50%),8
../mysql-files/source/1015/001223447ddff (42%),../mysql-files/source/1015/025667aabbcceeeef (40%),5
../mysql-files/source/1015/001223447ddff (42%),../mysql-files/source/1015/000144778acdddef (29%),5
../mysql-files/source/1015/23567789bbddeeeffff (45%),../mysql-files/source/1015/055689bbdf (47%),7
